id;name;address;phone;fax;emergency;region_id
1;Forks bleeding-edge;Loop Outdoors synergy;(275) 616-3413 x44275;embrace;Object-based Venezuela;1
2;Cordoba Oro Agent Configuration;Frozen Soap circuit;(910) 596-4494 x410;interfaces Avon;Soap Lead 3rd generation;2
3;Industrial TCP;Handmade Fresh Chair Unbranded ADP;131.503.2263;payment strategy;Unbranded;3
4;back-end Branding;alarm;940-991-5199;Accounts Down-sized;calculating;4
5;Rhode Island Steel;Andorra Wisconsin;504.086.6335 x7450;monitoring Hawaii Avon;protocol Moldovan Leu;5
6;matrix Utah;mobile hack Handcrafted;985.475.9855 x6758;Avon mint green B2B;connecting Ergonomic input;6
7;Gorgeous Frozen Pizza South Dakota;Sleek;958.646.3445 x8639;Electronics Money Market Account;Bike;7
8;ivory;XSS;996.119.4787;Montserrat;architecture Unions;8
9;project;Checking Account;(391) 341-8809;Ameliorated Wooden Assistant;strategize Berkshire Supervisor;9
10;high-level;copying Auto Loan Account application;428.494.8031 x266;Berkshire;impactful Corporate;10
